UCAC4 RA DEC MAG_R Vmag pmRA pmDE
330-068218 195.9980371 -24.0142114 12.32 12.558 -12.3 3.2
330-068220 196.0173239 -24.1436681 11.627 11.934 -26.3 -31.6
333-069508 196.045328 -23.4123662 12.748 12.992 -41.8 -7.4
329-066153 196.0776874 -24.2055959 12.527 12.742 9.7 2.9
330-068232 196.0837474 -24.1503667 12.573 12.768 -30.3 -3.7
331-068857 196.0875377 -23.8693459 12.56 12.736 -35.4 -68.9
328-069122 196.0971995 -24.5351767 12.511 12.765 -7.0 -3.1
329-066161 196.126635 -24.3067181 11.52 11.875 -13.1 -1.1
334-067061 196.1504565 -23.3908295 11.747 12.137 -5.8 3.3
331-068874 196.178065 -23.8166053 12.544 12.677 -29.2 -1.5
328-069137 196.1996489 -24.4614903 12.708 12.868 6.3 -4.1
333-069541 196.2181103 -23.4249864 12.673 12.925 -19.9 -15.0
329-066169 196.222523 -24.3295817 12.104 12.525 -7.1 1.4
334-067075 196.2289559 -23.3882348 12.64 12.763 -11.0 -3.2
332-066437 196.2632636 -23.619632 11.649 11.87 -41.4 -36.9
332-066438 196.2755106 -23.7874859 11.73 11.938 -37.2 9.1
328-069152 196.2787562 -24.4641078 12.233 12.6 -7.9 1.2
330-068270 196.2901762 -24.1675212 11.657 12.015 -6.3 8.8
334-067092 196.2910003 -23.2770184 12.159 12.292 3.4 -7.5
332-066439 196.2917703 -23.7579128 11.407 11.676 -13.2 -6.4
332-066442 196.3083795 -23.7660139 12.831 12.954 -3.7 -6.4
327-065838 196.3317977 -24.7565256 12.447 12.56 -5.2 2.1
331-068893 196.3592142 -23.9096609 11.201 11.433 -36.2 -32.6
327-065848 196.3712083 -24.69386 11.924 12.395 -11.4 -1.5
326-067229 196.3717683 -24.8648609 12.006 12.203 -13.4 3.9
333-069571 196.3834139 -23.4724192 12.746 12.995 -57.1 -17.8
334-067101 196.4265874 -23.3161953 12.344 12.493 1.5 -3.1
327-065858 196.4344374 -24.7641637 11.718 12.084 0.4 -3.2
326-067241 196.4353377 -24.8173692 12.809 12.928 -11.0 8.8
328-069168 196.4423724 -24.5897787 12.046 12.182 -21.3 -5.5
